,hashtag,timerange,aggregator,OSTMSTATS,CHDB,OHSOME
0,missingmaps,"['2017-01-01', '2017-12-31']",COUNT(DISTINCT user_id) count,28240,28446,28395
1,bloomberg,"['2017-01-01', '2017-12-31']",COUNT(DISTINCT user_id) count,137,137,137
2,visa,"['2017-01-01', '2017-12-31']",COUNT(DISTINCT user_id) count,0,1,1
3,hotosm-project-14154,"['2017-01-01', '2017-12-31']",COUNT(DISTINCT user_id) count,0,0,0
4,hotosm-project-,"['2017-01-01', '2017-12-31']",COUNT(DISTINCT user_id) count,42550,42901,42818
5,missingmaps,"['2022-01-01', '2023-02-07']",COUNT(DISTINCT user_id) count,11636,11793,11774
6,bloomberg,"['2022-01-01', '2023-02-07']",COUNT(DISTINCT user_id) count,550,572,572
7,visa,"['2022-01-01', '2023-02-07']",COUNT(DISTINCT user_id) count,122,175,175
8,hotosm-project-14154,"['2022-01-01', '2023-02-07']",COUNT(DISTINCT user_id) count,15,15,15
9,hotosm-project-,"['2022-01-01', '2023-02-07']",COUNT(DISTINCT user_id) count,47970,48149,48045
